Argument ID	Conclusion	Stance	Premise
B1	/	/	Once upon a time there was a rich man who had a servant who served him diligently and honestly
B2	/	/	Every morning he was the first one out of bed, and at night the last one to go to bed. Whenever there was a difficult job that nobody wanted to do, he was always the first to volunteer. He never complained at any of this, but was contented with everything and always happy
B4	/	/	The servant said nothing, but did his work the second year as he had done before, and when at the end of this year he again received no wages, he still stayed on without complaining
B6	/	/	However, this time the servant said, Master, I have served you honestly for three years. Be so good as to give me what by rights I have coming to me. I would like to be on my way and see something else of the world.
B7	/	/	Yes, my good servant, answered the old miser, you have served me without complaint, and you shall be kindly rewarded.
B8	/	/	With this he put his hand into his pocket, then counted out three hellers one at a time, saying, There, you have a heller for each year. That is a large and generous reward. Only a few masters would pay you this much.
B12	/	/	How much is your treasure? the dwarf asked him. How much? Three hellers in real money, precisely counted.
B13	/	/	Now because the servant had a good heart and felt pity for the dwarf, he gave him his three hellers, saying, In God's name, I won't miss them.
B14	/	/	Then the dwarf said, Because I see that you have a good heart I will grant you three wishes, one for each heller. They shall all be fulfilled.
B19	/	/	As soon as he had thus refreshed himself a little, and caught his breath again, he ran into the town to the judge.
B20	/	/	Judge, sir, he said, Oh, woe is me! See how a godless man has robbed me and abused me on the open road. A stone on the ground would feel sorry for me. My clothes are ripped into shreds. My body is pricked and scratched to pieces. And what little I owned has been taken away with my purse -- genuine ducats, each piece more beautiful than the others. For God's sake, let the man be thrown into prison.
B24	/	/	As he was being led away, the Jew screamed after him, You good-for-nothing. You dog of a musician. Now you will receive your well earned reward.
B25	/	/	The servant walked quietly up the ladder with the hangman, but on the last rung he turned around and said to the judge, Grant me just one request before I die.
B27	/	/	I stole it. I stole it, he cried. But you have honestly earned it.
B30	/	/	Long ago, at least two thousand years, there was a rich man who had a beautiful and pious wife
B41	/	/	One day the woman had gone upstairs to her room, when her little daughter came up too, and said, Mother, give me an apple. Yes, my child, said the woman, and gave her a beautiful apple out of the chest. The chest had a large heavy lid with a large sharp iron lock.
B42	/	/	Mother, said the little daughter, is brother not to have one too?
B47	/	/	Marlene went to her chest of drawers, took her best silk scarf from the bottom drawer, and gathered all the bones from beneath the table and tied them up in her silk scarf, then carried them outside the door, crying tears of blood.
B49	/	/	At the same time a mist seemed to rise from the tree, and in the center of this mist it burned like a fire, and a beautiful bird flew out of the fire singing magnificently, and it flew high into the air, and when it was gone, the juniper tree was just as it had been before, and the cloth with the bones was no longer there.
B50	/	/	My mother, she killed me, My father, he ate me, My sister Marlene, Gathered all my bones, Tied them in a silken scarf, Laid them beneath the juniper tree, Tweet, tweet, what a beautiful bird am I.
B52	/	/	My mother, she killed me, Then one of them stopped working. My father, he ate me, Then two more stopped working and listened, My sister Marlene, Then four more stopped, Gathered all my bones, Tied them in a silken scarf,
B53	/	/	Laid them beneath
B54	/	/	Yes, he said, if it belonged only to me, you should have it. Yes, said the others, if he sings again he can have it. Then the bird came down, and the twenty millers took a beam and lifted the stone up. Yo-heave-ho! Yo-heave-ho! Yo-heave-ho!
B55	/	/	He flew far away to a mill, and the mill went clickety-clack, clickety-clack, clickety-clack. In the mill sat twenty miller's apprentices cutting a stone, and chiseling chip-chop, chip-chop, chip-chop. And the mill went clickety-clack, clickety-clack, clickety-clack.
B56	/	/	He flew far away to his father's house.
B61	/	/	With this the bird dropped the golden chain, and it fell right around the man's neck, so exactly around it that it fit beautifully. Then the man went in and said, Just look what a beautiful bird that is, and what a beautiful golden chain he has given me, and how nice it looks.
B62	/	/	Then she was contented and happy. She put on the new red shoes and danced and leaped into the house. Oh, she said, I was so sad when I went out and now I am so contented. That is a splendid bird, he has given me a pair of red shoes.
B63	/	/	And as she went out the door, crash! the bird threw the millstone on her head, and it crushed her to death. The father and Marlene heard it and went out. Smoke, flames, and fire were rising from the place, and when that was over, the little brother was standing there, and he took his father and Marlene by the hand, and all three were very happy, and they went into the house, sat down at the table, and ate.
B64	/	/	Marlene, said the mother, what have you done? Be quiet and don't let anyone know about it.
B66	/	/	Upon which so strange a spectacle, the people of the city gathered apace together upon the sands, to wonder; and so after put themselves into a number of small boats, to go nearer to this marvellous sight.
B67	/	/	and to discern (as far as appertaineth to the generations of men) between divine miracles, works of nature, works of art, and impostures and illusions of all sorts.
B69	/	/	It is dedicated to the study of the works and creatures of God.
B70	/	/	House for the finding out of the true nature of all things
B71	/	/	true nature
B72	/	/	give us knowledge of the affairs and state of those countries to which they were designed, and especially of the sciences, arts, manufactures, and inventions of all the world
B73	/	/	free men
B74	/	/	at whose hands we found such humanity
B75	/	/	freedom
B76	/	/	desire to take strangers as it were into their bosom,
B77	/	/	desire to take strangers as it were into their bosom
B78	/	/	I will give thee the greatest jewel I have
B79	/	/	The end of our foundation is the knowledge of causes, and secret motions of things
B81	/	/	by whom also we learn many things
B82	/	/	We make them also by art greater much than their nature
B89	/	/	we do hate all impostures, and lies
B90	/	/	under pain of ignominy and fines
B92	/	/	looking into the experiments of their fellows, and cast about how to draw out of them things of use and practise for man's life, and knowledge
B94	/	/	we have three that take care, out of them, to direct new experiments, of a higher light, more penetrating into nature than the former
B95	/	/	We have three others that do execute the experiments so directed
B96	/	/	for the good of other nations
B97	/	/	for the good of other nation
B98	/	/	for the good of other natio
B99	/	/	E qui sta anco un libro in lettere d'oro di cose importantissime.
B102	/	/	Sapienza
B109	/	/	tra loro non possono donarsi cosa alcuna, perché tutto hanno del commune, e molto guardano gli offiziali, che nullo abbia più che merita. Però quanto è bisogno tutti l'hanno. E l'amico si conosce tra loro nelle guerre, nell'infirmità, nelle scienze, dove s'aiutano e s'insegnano l'un l'altro. E tutti li gioveni s'appellan frati e quei che son quindici anni più di loro, padri, e quindici meno figli. E poi vi stanno l'offiziali a tutte cose attenti, che nullo possa all'altro far torto nella fratellanza.
B111	/	/	bugia, che abborriscono più che la peste;
B112	/	/	non sendo tra loro latrocini, né assassinii, né stupri ed incesti, adultèri, delli quali noi ci accusamo
B113	/	/	Giustizia
B114	/	/	Verità
B115	/	/	di questi rei per pena son privati della mensa commune, o del commerzio delle donne, e d'alcuni onori, finché pare al giudice, per ammendarli.
B121	/	/	han potestà di battere o far battere da altri li negligenti e disobedienti,
B122	/	/	notano ognuno ed ognuna in che esercizio meglio riesce.
B125	/	/	Gli offiziali hanno la miglior parte; questi mandano spesso della loro a tavola a chi più si ha fatto onore la mattina nelle lezioni e dispute di scienze ed armi, e questo si stima per grande onore e favore.
B126	/	/	Hanno in tutte le piazze delli gironi le lor fontane, che tirano l'acque dal fondo solo con muover un legno, onde esse spicciano per li canali.
B127	/	/	Negli atri di fuora son orologi di sole e di squille per tutti i gironi, e banderuole per saper i venti.
B131	/	/	Il che non può avvenire al nostro Sole, perché non può arrivare a tante scienze chi non è scaltro d'ingegno ad ogni cosa, onde è sempre attivissimo al governo.
B132	/	/	Ma tutti questi offiziali han d'essere filosofi, e più, ed istorici, naturalisti ed umanisti.
B142	/	/	La superbia è tenuta per gran peccato, e si punisce un atto di superbia in quel modo che l'ha commesso.
B143	/	/	non tengono schiavi, perché essi bastano a se stessi, anzi soverchiano.
B154	/	/	Nell'assalti, chi prima saglie il muro ha dopo in onore una corona di gramigna con applauso militare delle donne e fanciulli. Chi aiuta il compagno ha la corona civica di quercia; chi uccide il tiranno, le spoglie opime, che porta al tempio, e si dona al Sole il cognome dell'impresa.
B155	/	/	Ci son poi li trionfi militari ad uso di Romani, e più belli, e le supplicazioni ringraziatorie. E si presenta al tempio il capitano, e si narrano li gesti dal poeta o istorico ch'andò con lui. E 'l Principe lo corona, ed a tutti soldati fa qualche regalo ed onore, e per molti dì sono esenti dalle fatiche publiche.
B157	/	/	Chi non aiutò l'amico o fe' atto vile, è frustato; chi fu disobediente, si mette a morire dentro a un palco di bestie con un bastone in mano, e se vince i leoni e l'orsi, che è quasi impossibile, torna in grazia.
B158	/	/	Perdonano volentieri a' nemici e dopo la vittoria li fanno bene. Se gettano mura o vogliono occider i capi o altro danno a' vinti, tutto fanno in un giorno, e poi li fanno bene, e dicono che non si deve far guerra se non per far gli uomini buoni, non per estinguerli.
B162	/	/	L'agricoltura è in gran stima: non ci è palmo di terra che non frutti. Osservano li venti e le stelle propizie, ed escono tutti in campo armati ad arare, seminare, zappare, metere, raccogliere, vindemmiare, con musiche, trombe e stendardi; ed ogni cosa fanno tra pochissime ore. Hanno le carra a vela, che caminano con il vento, e quando non ci è vento, una bestia tira un gran carro, bella cosa, ed han li guardiani del territorio armati, che per li campi sempre van girando. Poco usano letame all'orti ed a' campi, dicendo che li semi diventano putridi e fan vita breve, come le donne imbellettate e non belle per esercizio fanno prole fiacca. Onde né pur la terra imbellettano, ma ben l'esercitano, ed hanno gran secreti di far nascer presto e multiplicare, e non perder seme. E tengon un libro a posta di tal esercizio, che si chiama la Georgica. Una parte del territorio, quanto basta, si ara; l'altra serve per pascolo delle bestie. Or questa nobil arte di far cavalli, bovi, pecore, cani ed ogni sorte d'animali domestici è in sommo pregio appresso loro, come fu in tempo antico d'Abramo; e con modi magici li fanno venire al coito, che possan ben generare, inanzi a cavalli pinti o bovi o pecore; e non lasciano andar in campagna li stalloni con le giumente, ma li donano a tempo opportuno inanzi alle stalle di campagna. Osservano Sagittario in ascendente, con buono aspetto di Marte e Giove: per li bovi, Tauro, per le pecore, Ariete, secondo l'arte. Hanno poi mandre di galline sotto le Pleiadi e papare e anatre, guidate a pascere dalle donne con gusto loro presso alla città e li luochi, dove la sera son serrate a far il cascio e latticini, butiri e simili. Molto attendono a' caponi ed a' castrati ed al frutto, e ci è un libro di quest'arte detto la Bucolica.
B166	/	/	navigano per conoscer genti e paesi.
B167	/	/	Dicono che il mondo averà da riducersi a vivere come essi fanno, però cercano sempre sapere se altri vivono meglio di loro.
B168	/	/	Hanno anche gran secreti di fuochi artifiziali per le guerre marine e terrestri, e stratagemme, che mai non restan di vincere.
B170	/	/	Segno d'ingegno grande,
B175	/	/	quando occorre caso ingiurioso, l'omicidio si punisce con morte, ed occhio per occhio, naso per naso si paga la pena della pariglia,
B176	/	/	s'appella pure al Metafisico per grazia, non per giustizia, e quello può far la grazia.
B181	/	/	tutti gli offiziali son sacerdoti, parlando delli capi, ed offizio loro è purgar le conscienze.
B182	/	/	Talché tutti si confessano a quelli, ed essi imparano che sorti di peccati regnano.
B188	/	/	Ma chi dice bugia in laude è punito; non si può dir poeta chi finge menzogna tra loro; e questa licenza dicono che è ruina del mondo, che toglie il premio alle virtù e lo dona altrui per paura o adulazione.
B191	/	/	Però essi cercano assai sottilmente questo negozio, perché importa a saper la fabbrica del mondo, e se perirà e quando, e la sostanza delle stelle e chi ci sta dentro a loro.
B196	/	/	Stanno anche molto curiosi
B202	/	/	Quel che non vuoi per te non far ad altri, e quel che vuoi per te fa' tu il medesimo.
