Argument ID	Conclusion	Stance	Premise
A1	Once upon a time there was a rich man who had a servant who served him diligently and honestly		
A2	Every morning he was the first one out of bed, and at night the last one to go to bed. Whenever there was a difficult job that nobody wanted to do, he was always the first to volunteer. He never complained at any of this, but was contented with everything and always happy		
A3	He never complained at any of this, but was contented with everything and always happy		
A4	The servant said nothing, but did his work the second year as he had done before, and when at the end of this year he again received no wages, he still stayed on without complaining		
A5	When the third year had passed, the master thought it over, then put his hand into his pocket, but pulled out nothing.		
A6	"However, this time the servant said, ""Master, I have served you honestly for three years. Be so good as to give me what by rights I have coming to me. I would like to be on my way and see something else of the world."""		
A7	"""Yes, my good servant,"" answered the old miser, ""you have served me without complaint, and you shall be kindly rewarded."""		
A8	"With this he put his hand into his pocket, then counted out three hellers one at a time, saying, ""There, you have a heller for each year. That is a large and generous reward. Only a few masters would pay you this much."""		
A9	"""Yes, my good servant,"" answered the old miser, ""you have served me without complaint, and you shall be kindly rewarded."" With this he put his hand into his pocket, then counted out three hellers one at a time, saying, ""There, you have a heller for each year. That is a large and generous reward. Only a few masters would pay you this much."""		
A10	"The good servant, who understood little about money, put his wealth into his pocket, and thought, ""Ah, now that I have a full purse, why should I worry and continue to plague myself with hard work?"" So he set forth, uphill and down, singing and jumping for joy."		
A11	"""Why should I be sad?"" answered the servant. ""I have everything I need. Three years' wages are jingling in my pocket."		
A12	"""How much is your treasure?"" the dwarf asked him. ""How much? Three hellers in real money, precisely counted."""		
A13	"Now because the servant had a good heart and felt pity for the dwarf, he gave him his three hellers, saying, ""In God's name, I won't miss them."""		
A14	"Then the dwarf said, ""Because I see that you have a good heart I will grant you three wishes, one for each heller. They shall all be fulfilled."""		
A15	"Soon afterward he met a Jew with a long goatee, who was standing listening to a bird singing high up in the top of a tree. ""One of God's own miracles,"" he shouted, ""that such a small creature should have such a fearfully loud voice. If only it were mine! If only someone would sprinkle some salt on its tail!"" ""If that is all you want,"" said the servant, ""then the bird shall soon be down here."" He took aim, hit it precisely, and the bird fell down into a thorn hedge."		
A16	"""If that is all you want,"" said the servant, ""then the bird shall soon be down here."" He took aim, hit it precisely, and the bird fell down into a thorn hedge. ""Rogue,"" he said to the Jew, ""Go and fetch the bird out for yourself."""		
A17	The Jew's legs immediately began to move, and he jumped up. The more the servant fiddled the better went the dance. However, the thorns ripped apart the Jew's shabby coat, combed his beard, and pricked and pinched him all over his body.		
A18	"""If you are so generous,"" said the servant, ""then I will stop my music. But I must praise the singular way that you dance to it."" Then he took his purse he went on his way."		
A19	As soon as he had thus refreshed himself a little, and caught his breath again, he ran into the town to the judge.		
A20	"""Judge, sir,"" he said, ""Oh, woe is me! See how a godless man has robbed me and abused me on the open road. A stone on the ground would feel sorry for me. My clothes are ripped into shreds. My body is pricked and scratched to pieces. And what little I owned has been taken away with my purse -- genuine ducats, each piece more beautiful than the others. For God's sake, let the man be thrown into prison."""		
A21	"The judge asked, ""Was it a soldier who cut you up like that with his saber?"" ""God forbid,"" said the Jew. ""He didn't have a naked dagger, but rather a blowpipe hanging from his back, and a fiddle from his neck. The scoundrel can easily be recognized."" The judge sent his people out after him. They found the good servant, who had been walking along quite slowly. And they found the purse with the money on him as well."		
A22	"When he was brought before the judge he said, ""I did not touch the Jew, nor take his money. He offered it to me freely, so that I would stop fiddling, because he could not stand my music."" ""God forbid!"" cried the Jew. ""He is reaching for lies like flies on the wall."""		
A23	"The judge did not believe his story, and said, ""That is a poor excuse. No Jew would do that."" And because he had committed robbery on the open road, the good servant was sentenced to the gallows."		
A24	"As he was being led away, the Jew screamed after him, ""You good-for-nothing. You dog of a musician. Now you will receive your well earned reward."""		
A25	"The servant walked quietly up the ladder with the hangman, but on the last rung he turned around and said to the judge, ""Grant me just one request before I die."""		
A26	"But the judge said, ""Why should I not grant him this short pleasure? It has been promised to him, and he shall have it."" In any event, he could not have refused because of the gift that had been bestowed on the servant."		
A27	"""I stole it. I stole it,"" he cried. ""But you have honestly earned it."""		
A28	With that the judge had the Jew led to the gallows and hanged as a thief.		
A29	"The good servant listened to this, then took his fiddle, hung it around his neck again, and climbed down the ladder. He went up to the Jew, who was lying upon the ground gasping for air, and said, ""You rogue, now confess where you got the money, or I will take my fiddle off my neck and begin to play again."" ""I stole it. I stole it,"" he cried. ""But you have honestly earned it."""		
A30	Long ago, at least two thousand years, there was a rich man who had a beautiful and pious wife		
A31	Long ago, at least two thousand years, there was a rich man who had a beautiful and pious wife, and they loved each other dearly.		
A32	Long ago, at least two thousand years, there was a rich man who had a beautiful and pious wife, and they loved each other dearly. However, they had no children, though they wished very much to have some, and the woman prayed for them day and night, but they didn't get any, and they didn't get any.		
A33	"""Oh,"" said the woman. She sighed heavily, looked at the blood before her, and was most unhappy. ""If only I had a child as red as blood and as white as snow."" And as she said that, she became quite contented, and felt sure that it was going to happen."		
A34	And when the sixth month was over, the fruit was thick and large, and then she was quite still. And after the seventh month she picked the juniper berries and ate them greedily.		
