Argument ID	Conclusion	Stance	Premise
A1	Once upon a time there was a rich man who had a servant who served him diligently and honestly		
A2	Every morning he was the first one out of bed, and at night the last one to go to bed. Whenever there was a difficult job that nobody wanted to do, he was always the first to volunteer. He never complained at any of this, but was contented with everything and always happy		
A4	The servant said nothing, but did his work the second year as he had done before, and when at the end of this year he again received no wages, he still stayed on without complaining		
A6	"However, this time the servant said, ""Master, I have served you honestly for three years. Be so good as to give me what by rights I have coming to me. I would like to be on my way and see something else of the world."""		
A7	"""Yes, my good servant,"" answered the old miser, ""you have served me without complaint, and you shall be kindly rewarded."""		
A8	"With this he put his hand into his pocket, then counted out three hellers one at a time, saying, ""There, you have a heller for each year. That is a large and generous reward. Only a few masters would pay you this much."""		
A12	"""How much is your treasure?"" the dwarf asked him. ""How much? Three hellers in real money, precisely counted."""		
A13	"Now because the servant had a good heart and felt pity for the dwarf, he gave him his three hellers, saying, ""In God's name, I won't miss them."""		
A14	"Then the dwarf said, ""Because I see that you have a good heart I will grant you three wishes, one for each heller. They shall all be fulfilled."""		
A19	As soon as he had thus refreshed himself a little, and caught his breath again, he ran into the town to the judge.		
A20	"""Judge, sir,"" he said, ""Oh, woe is me! See how a godless man has robbed me and abused me on the open road. A stone on the ground would feel sorry for me. My clothes are ripped into shreds. My body is pricked and scratched to pieces. And what little I owned has been taken away with my purse -- genuine ducats, each piece more beautiful than the others. For God's sake, let the man be thrown into prison."""		
A24	"As he was being led away, the Jew screamed after him, ""You good-for-nothing. You dog of a musician. Now you will receive your well earned reward."""		
A25	"The servant walked quietly up the ladder with the hangman, but on the last rung he turned around and said to the judge, ""Grant me just one request before I die."""		
A27	"""I stole it. I stole it,"" he cried. ""But you have honestly earned it."""		
A30	Long ago, at least two thousand years, there was a rich man who had a beautiful and pious wife		
A41	"One day the woman had gone upstairs to her room, when her little daughter came up too, and said, ""Mother, give me an apple."" ""Yes, my child,"" said the woman, and gave her a beautiful apple out of the chest. The chest had a large heavy lid with a large sharp iron lock."		
A42	"""Mother,"" said the little daughter, ""is brother not to have one too?"""		
A47	Marlene went to her chest of drawers, took her best silk scarf from the bottom drawer, and gathered all the bones from beneath the table and tied them up in her silk scarf, then carried them outside the door, crying tears of blood.		
A49	At the same time a mist seemed to rise from the tree, and in the center of this mist it burned like a fire, and a beautiful bird flew out of the fire singing magnificently, and it flew high into the air, and when it was gone, the juniper tree was just as it had been before, and the cloth with the bones was no longer there.		
A50	My mother, she killed me, My father, he ate me, My sister Marlene, Gathered all my bones, Tied them in a silken scarf, Laid them beneath the juniper tree, Tweet, tweet, what a beautiful bird am I.		
A52	My mother, she killed me, Then one of them stopped working. My father, he ate me, Then two more stopped working and listened, My sister Marlene, Then four more stopped, Gathered all my bones, Tied them in a silken scarf,		
A53	Laid them beneath		
A54	"""Yes,"" he said, ""if it belonged only to me, you should have it."" ""Yes,"" said the others, ""if he sings again he can have it."" Then the bird came down, and the twenty millers took a beam and lifted the stone up. Yo-heave-ho! Yo-heave-ho! Yo-heave-ho!"		
A55	He flew far away to a mill, and the mill went clickety-clack, clickety-clack, clickety-clack. In the mill sat twenty miller's apprentices cutting a stone, and chiseling chip-chop, chip-chop, chip-chop. And the mill went clickety-clack, clickety-clack, clickety-clack.		
A56	He flew far away to his father's house.		
A61	"With this the bird dropped the golden chain, and it fell right around the man's neck, so exactly around it that it fit beautifully. Then the man went in and said, ""Just look what a beautiful bird that is, and what a beautiful golden chain he has given me, and how nice it looks."""		
A62	"Then she was contented and happy. She put on the new red shoes and danced and leaped into the house. ""Oh,"" she said, ""I was so sad when I went out and now I am so contented. That is a splendid bird, he has given me a pair of red shoes."""		
A63	And as she went out the door, crash! the bird threw the millstone on her head, and it crushed her to death. The father and Marlene heard it and went out. Smoke, flames, and fire were rising from the place, and when that was over, the little brother was standing there, and he took his father and Marlene by the hand, and all three were very happy, and they went into the house, sat down at the table, and ate.		
A64	"""Marlene,"" said the mother, ""what have you done? Be quiet and don't let anyone know about it."		
A66	Upon which so strange a spectacle, the people of the city gathered apace together upon the sands, to wonder; and so after put themselves into a number of small boats, to go nearer to this marvellous sight.		
A67	and to discern (as far as appertaineth to the generations of men) between divine miracles, works of nature, works of art, and impostures and illusions of all sorts.		
A69	It is dedicated to the study of the works and creatures of God.		
A70	House for the finding out of the true nature of all things		
A71	true nature		
A72	give us knowledge of the affairs and state of those countries to which they were designed, and especially of the sciences, arts, manufactures, and inventions of all the world		
A73	free men		
A74	at whose hands we found such humanity		
A75	freedom		
A76	desire to take strangers as it were into their bosom,		
A77	desire to take strangers as it were into their bosom		
A78	I will give thee the greatest jewel I have		
A79	The end of our foundation is the knowledge of causes, and secret motions of things		
A81	by whom also we learn many things		
A82	We make them also by art greater much than their nature		
A89	we do hate all impostures, and lies		
A90	under pain of ignominy and fines		
A92	looking into the experiments of their fellows, and cast about how to draw out of them things of use and practise for man's life, and knowledge		
